startDate,endDate,unit,value
2021-02-22 12:36:09 +0000,2021-02-22 13:36:10 +0000,kcal,0.248
2021-02-22 13:36:10 +0000,2021-02-22 13:41:31 +0000,kcal,6.516
2021-02-22 13:41:31 +0000,2021-02-22 14:41:31 +0000,kcal,71.202
2021-02-22 14:41:31 +0000,2021-02-22 15:41:31 +0000,kcal,71.202
2021-02-22 15:41:31 +0000,2021-02-22 16:41:31 +0000,kcal,71.202
2021-02-22 16:41:31 +0000,2021-02-22 17:18:24 +0000,kcal,43.77
2021-02-22 17:18:24 +0000,2021-02-22 17:34:30 +0000,kcal,19.1
2021-02-22 17:34:30 +0000,2021-02-22 17:50:12 +0000,kcal,18.623
2021-02-22 17:50:12 +0000,2021-02-22 18:05:54 +0000,kcal,18.62
2021-02-22 18:05:54 +0000,2021-02-22 18:23:39 +0000,kcal,20.848
2021-02-22 18:23:39 +0000,2021-02-22 18:39:11 +0000,kcal,18.411
2021-02-22 18:39:11 +0000,2021-02-22 18:54:32 +0000,kcal,18.213
2021-02-22 18:54:32 +0000,2021-02-22 19:09:33 +0000,kcal,17.805
2021-02-22 19:09:33 +0000,2021-02-22 19:23:12 +0000,kcal,15.986
2021-02-22 19:23:12 +0000,2021-02-22 19:40:16 +0000,kcal,20.239
2021-02-22 19:40:16 +0000,2021-02-22 19:43:51 +0000,kcal,4.249
2021-02-22 19:43:51 +0000,2021-02-22 19:58:52 +0000,kcal,17.814
2021-02-22 19:58:52 +0000,2021-02-22 20:15:25 +0000,kcal,19.627
2021-02-22 20:15:25 +0000,2021-02-22 20:40:29 +0000,kcal,29.753
2021-02-22 20:40:29 +0000,2021-02-22 20:53:37 +0000,kcal,15.379
2021-02-22 20:53:37 +0000,2021-02-22 21:09:09 +0000,kcal,18.418
2021-02-22 21:09:09 +0000,2021-02-22 21:24:10 +0000,kcal,17.804
2021-02-22 21:24:10 +0000,2021-02-22 21:35:36 +0000,kcal,13.56
2021-02-22 21:35:36 +0000,2021-02-22 21:50:47 +0000,kcal,17.815
2021-02-22 21:50:47 +0000,2021-02-22 22:03:24 +0000,kcal,14.978
2021-02-22 22:03:24 +0000,2021-02-22 22:19:37 +0000,kcal,19.23
2021-02-22 22:19:37 +0000,2021-02-22 22:34:48 +0000,kcal,18.012
2021-02-22 22:34:48 +0000,2021-02-22 22:49:49 +0000,kcal,17.604
2021-02-22 22:49:49 +0000,2021-02-22 23:05:31 +0000,kcal,18.622
2021-02-22 23:05:31 +0000,2021-02-22 23:21:13 +0000,kcal,18.623
2021-02-22 23:21:13 +0000,2021-02-22 23:36:34 +0000,kcal,18.215
2021-02-22 23:36:34 +0000,2021-02-22 23:51:35 +0000,kcal,17.403
2021-02-22 23:51:35 +0000,2021-02-23 00:08:29 +0000,kcal,19.835
2021-02-23 00:08:29 +0000,2021-02-23 00:24:11 +0000,kcal,18.62
2021-02-23 00:24:11 +0000,2021-02-23 00:40:03 +0000,kcal,18.823
2021-02-23 00:40:03 +0000,2021-02-23 00:55:04 +0000,kcal,17.809
2021-02-23 00:55:04 +0000,2021-02-23 01:10:05 +0000,kcal,17.808
2021-02-23 01:10:05 +0000,2021-02-23 01:24:56 +0000,kcal,17.203
2021-02-23 01:24:56 +0000,2021-02-23 01:40:17 +0000,kcal,18.218
2021-02-23 01:40:17 +0000,2021-02-23 01:54:37 +0000,kcal,17.001
2021-02-23 01:54:37 +0000,2021-02-23 02:09:48 +0000,kcal,18.017
2021-02-23 02:09:48 +0000,2021-02-23 02:24:08 +0000,kcal,17.005
2021-02-23 02:24:08 +0000,2021-02-23 02:39:09 +0000,kcal,17.402
2021-02-23 02:39:09 +0000,2021-02-23 02:52:18 +0000,kcal,15.587
2021-02-23 02:52:18 +0000,2021-02-23 03:09:32 +0000,kcal,20.441
2021-02-23 03:09:32 +0000,2021-02-23 03:22:30 +0000,kcal,15.17
2021-02-23 03:22:30 +0000,2021-02-23 03:38:12 +0000,kcal,18.62
2021-02-23 03:38:12 +0000,2021-02-23 03:53:53 +0000,kcal,18.42
