startDate,endDate,unit,value
2020-08-16 03:48:46 +0000,2020-08-16 03:56:53 +0000,count,118
2020-08-16 04:04:58 +0000,2020-08-16 04:05:41 +0000,count,63
2020-08-16 04:24:35 +0000,2020-08-16 04:25:00 +0000,count,45
2020-08-16 07:14:21 +0000,2020-08-16 07:19:44 +0000,count,36
2020-08-16 08:36:44 +0000,2020-08-16 08:36:56 +0000,count,19
2020-08-16 11:29:19 +0000,2020-08-16 11:37:47 +0000,count,139
2020-08-16 14:59:38 +0000,2020-08-16 14:59:59 +0000,count,19
2020-08-16 23:34:07 +0000,2020-08-16 23:34:27 +0000,count,19
2020-08-17 01:04:18 +0000,2020-08-17 01:04:31 +0000,count,23
2020-08-17 01:23:18 +0000,2020-08-17 01:31:38 +0000,count,527
2020-08-17 01:35:53 +0000,2020-08-17 01:36:00 +0000,count,18
2020-08-17 01:59:36 +0000,2020-08-17 02:01:50 +0000,count,255
2020-08-17 02:59:04 +0000,2020-08-17 03:08:25 +0000,count,239
2020-08-17 03:17:38 +0000,2020-08-17 03:27:39 +0000,count,472
2020-08-17 03:27:39 +0000,2020-08-17 03:28:42 +0000,count,79
2020-08-17 03:44:53 +0000,2020-08-17 03:53:23 +0000,count,258
2020-08-17 05:06:43 +0000,2020-08-17 05:07:21 +0000,count,40
2020-08-17 05:26:31 +0000,2020-08-17 05:26:34 +0000,count,2
2020-08-17 07:04:59 +0000,2020-08-17 07:05:37 +0000,count,50
2020-08-17 07:26:02 +0000,2020-08-17 07:27:49 +0000,count,31
2020-08-17 08:57:56 +0000,2020-08-17 09:07:57 +0000,count,613
2020-08-17 09:07:57 +0000,2020-08-17 09:17:53 +0000,count,178
2020-08-17 09:19:29 +0000,2020-08-17 09:21:10 +0000,count,53
2020-08-17 10:07:33 +0000,2020-08-17 10:08:19 +0000,count,60
2020-08-17 10:23:05 +0000,2020-08-17 10:23:30 +0000,count,45
2020-08-17 11:57:28 +0000,2020-08-17 11:58:23 +0000,count,26
2020-08-17 12:27:49 +0000,2020-08-17 12:29:12 +0000,count,76
2020-08-17 14:43:10 +0000,2020-08-17 14:43:20 +0000,count,15
2020-08-17 15:07:37 +0000,2020-08-17 15:07:42 +0000,count,12
2020-08-17 17:24:43 +0000,2020-08-17 17:24:58 +0000,count,26
2020-08-18 01:56:38 +0000,2020-08-18 01:59:58 +0000,count,44
2020-08-18 02:57:04 +0000,2020-08-18 03:02:40 +0000,count,111
2020-08-18 03:14:55 +0000,2020-08-18 03:15:02 +0000,count,16
2020-08-18 05:07:40 +0000,2020-08-18 05:07:45 +0000,count,16
2020-08-18 05:39:23 +0000,2020-08-18 05:39:28 +0000,count,13
2020-08-18 06:29:31 +0000,2020-08-18 06:30:44 +0000,count,21
2020-08-18 07:01:06 +0000,2020-08-18 07:01:21 +0000,count,38
2020-08-18 07:55:35 +0000,2020-08-18 08:02:19 +0000,count,71
2020-08-18 08:11:58 +0000,2020-08-18 08:14:42 +0000,count,25
2020-08-18 08:52:14 +0000,2020-08-18 08:52:27 +0000,count,20
2020-08-18 10:25:08 +0000,2020-08-18 10:27:47 +0000,count,86
2020-08-18 10:59:49 +0000,2020-08-18 11:05:09 +0000,count,90
2020-08-18 11:17:44 +0000,2020-08-18 11:17:57 +0000,count,23
2020-08-18 11:30:04 +0000,2020-08-18 11:30:17 +0000,count,27
2020-08-18 12:58:16 +0000,2020-08-18 13:07:57 +0000,count,29
2020-08-18 13:08:40 +0000,2020-08-18 13:09:00 +0000,count,34
2020-08-18 14:18:29 +0000,2020-08-18 14:19:22 +0000,count,35
2020-08-19 01:06:37 +0000,2020-08-19 01:16:37 +0000,count,32
2020-08-19 01:16:37 +0000,2020-08-19 01:25:07 +0000,count,485
2020-08-19 01:47:52 +0000,2020-08-19 01:53:05 +0000,count,388
2020-08-19 01:58:25 +0000,2020-08-19 02:01:47 +0000,count,65
2020-08-19 02:27:45 +0000,2020-08-19 02:28:05 +0000,count,42
2020-08-19 02:58:39 +0000,2020-08-19 03:07:19 +0000,count,316
2020-08-19 03:19:59 +0000,2020-08-19 03:22:36 +0000,count,167
2020-08-19 03:22:36 +0000,2020-08-19 03:22:56 +0000,count,28
2020-08-19 03:23:01 +0000,2020-08-19 03:31:24 +0000,count,459
2020-08-19 04:15:03 +0000,2020-08-19 04:15:05 +0000,count,7
2020-08-19 04:30:37 +0000,2020-08-19 04:31:17 +0000,count,50
2020-08-19 05:05:17 +0000,2020-08-19 05:05:39 +0000,count,39
2020-08-19 06:36:30 +0000,2020-08-19 06:36:37 +0000,count,17
2020-08-19 07:25:59 +0000,2020-08-19 07:30:52 +0000,count,77
2020-08-19 08:09:28 +0000,2020-08-19 08:14:43 +0000,count,140
2020-08-19 08:24:52 +0000,2020-08-19 08:24:57 +0000,count,13
2020-08-19 08:49:16 +0000,2020-08-19 08:59:17 +0000,count,168
2020-08-19 08:59:17 +0000,2020-08-19 09:09:18 +0000,count,620
2020-08-19 09:09:18 +0000,2020-08-19 09:12:47 +0000,count,123
2020-08-19 09:41:25 +0000,2020-08-19 09:41:45 +0000,count,38
2020-08-19 10:35:07 +0000,2020-08-19 10:35:47 +0000,count,59
2020-08-19 10:54:16 +0000,2020-08-19 11:03:59 +0000,count,66
2020-08-19 11:05:07 +0000,2020-08-19 11:15:03 +0000,count,384
2020-08-19 11:15:08 +0000,2020-08-19 11:25:09 +0000,count,169
2020-08-19 11:25:12 +0000,2020-08-19 11:30:50 +0000,count,132
2020-08-19 11:42:14 +0000,2020-08-19 11:43:30 +0000,count,60
2020-08-19 12:09:32 +0000,2020-08-19 12:09:53 +0000,count,38
2020-08-19 14:50:11 +0000,2020-08-19 14:51:29 +0000,count,43
2020-08-19 15:05:52 +0000,2020-08-19 15:06:40 +0000,count,35
2020-08-20 00:30:20 +0000,2020-08-20 00:39:20 +0000,count,93
2020-08-20 00:44:59 +0000,2020-08-20 00:45:19 +0000,count,27
2020-08-20 01:03:24 +0000,2020-08-20 01:10:48 +0000,count,253
2020-08-20 01:14:48 +0000,2020-08-20 01:15:08 +0000,count,38
2020-08-20 01:27:56 +0000,2020-08-20 01:37:57 +0000,count,195
2020-08-20 01:37:59 +0000,2020-08-20 01:38:57 +0000,count,19
2020-08-20 01:54:14 +0000,2020-08-20 02:01:08 +0000,count,343
2020-08-20 02:58:58 +0000,2020-08-20 03:03:08 +0000,count,274
2020-08-20 03:09:19 +0000,2020-08-20 03:16:19 +0000,count,73
2020-08-20 03:19:23 +0000,2020-08-20 03:23:33 +0000,count,350
2020-08-20 03:23:38 +0000,2020-08-20 03:23:58 +0000,count,31
2020-08-20 03:23:58 +0000,2020-08-20 03:27:23 +0000,count,131
2020-08-20 03:46:24 +0000,2020-08-20 03:55:52 +0000,count,59
2020-08-20 03:57:33 +0000,2020-08-20 04:07:34 +0000,count,194
2020-08-20 04:07:34 +0000,2020-08-20 04:16:50 +0000,count,764
2020-08-20 04:17:58 +0000,2020-08-20 04:27:58 +0000,count,488
2020-08-20 04:27:58 +0000,2020-08-20 04:37:44 +0000,count,416
2020-08-20 04:37:59 +0000,2020-08-20 04:47:58 +0000,count,686
2020-08-20 04:47:58 +0000,2020-08-20 04:57:36 +0000,count,534
2020-08-20 04:58:04 +0000,2020-08-20 05:03:52 +0000,count,550
2020-08-20 05:15:29 +0000,2020-08-20 05:25:05 +0000,count,801
2020-08-20 05:27:34 +0000,2020-08-20 05:33:55 +0000,count,88
2020-08-20 05:48:34 +0000,2020-08-20 05:50:40 +0000,count,73
2020-08-20 06:29:30 +0000,2020-08-20 06:39:26 +0000,count,498
2020-08-20 06:39:36 +0000,2020-08-20 06:48:47 +0000,count,20
2020-08-20 06:50:10 +0000,2020-08-20 06:59:41 +0000,count,529
2020-08-20 07:00:11 +0000,2020-08-20 07:07:28 +0000,count,131
2020-08-20 07:11:05 +0000,2020-08-20 07:12:23 +0000,count,116
2020-08-20 09:49:56 +0000,2020-08-20 09:59:57 +0000,count,793
2020-08-20 09:59:57 +0000,2020-08-20 10:09:40 +0000,count,554
2020-08-20 10:11:29 +0000,2020-08-20 10:21:29 +0000,count,174
2020-08-20 10:21:29 +0000,2020-08-20 10:27:02 +0000,count,123
2020-08-20 11:45:45 +0000,2020-08-20 11:51:54 +0000,count,274
2020-08-20 12:07:13 +0000,2020-08-20 12:17:14 +0000,count,590
2020-08-20 12:17:14 +0000,2020-08-20 12:27:15 +0000,count,137
2020-08-20 12:27:22 +0000,2020-08-20 12:30:57 +0000,count,110
2020-08-20 12:50:34 +0000,2020-08-20 12:56:48 +0000,count,41
2020-08-20 13:16:20 +0000,2020-08-20 13:16:37 +0000,count,32
2020-08-20 14:34:52 +0000,2020-08-20 14:40:53 +0000,count,168
2020-08-21 00:44:35 +0000,2020-08-21 00:45:56 +0000,count,55
2020-08-21 01:17:55 +0000,2020-08-21 01:27:56 +0000,count,243
2020-08-21 01:27:56 +0000,2020-08-21 01:37:01 +0000,count,402
2020-08-21 01:48:16 +0000,2020-08-21 01:57:12 +0000,count,308
2020-08-21 01:59:30 +0000,2020-08-21 02:04:36 +0000,count,46
2020-08-21 03:00:06 +0000,2020-08-21 03:07:13 +0000,count,246
2020-08-21 03:20:06 +0000,2020-08-21 03:22:37 +0000,count,269
2020-08-21 03:22:37 +0000,2020-08-21 03:31:55 +0000,count,920
2020-08-21 03:32:43 +0000,2020-08-21 03:40:30 +0000,count,60
2020-08-21 03:44:38 +0000,2020-08-21 03:54:39 +0000,count,447
2020-08-21 03:54:39 +0000,2020-08-21 04:03:22 +0000,count,284
2020-08-21 04:22:08 +0000,2020-08-21 04:30:23 +0000,count,378
2020-08-21 05:05:34 +0000,2020-08-21 05:05:37 +0000,count,12
2020-08-21 05:25:20 +0000,2020-08-21 05:35:21 +0000,count,141
2020-08-21 05:35:21 +0000,2020-08-21 05:45:20 +0000,count,511
2020-08-21 05:47:36 +0000,2020-08-21 05:57:37 +0000,count,421
2020-08-21 05:57:37 +0000,2020-08-21 06:05:46 +0000,count,527
2020-08-21 06:10:42 +0000,2020-08-21 06:19:17 +0000,count,75
2020-08-21 06:20:58 +0000,2020-08-21 06:29:50 +0000,count,321
2020-08-21 06:31:11 +0000,2020-08-21 06:41:12 +0000,count,358
2020-08-21 06:41:12 +0000,2020-08-21 06:51:02 +0000,count,503
2020-08-21 06:53:49 +0000,2020-08-21 07:03:50 +0000,count,831
2020-08-21 07:03:50 +0000,2020-08-21 07:11:14 +0000,count,499
2020-08-21 07:15:34 +0000,2020-08-21 07:15:37 +0000,count,3
2020-08-21 07:26:00 +0000,2020-08-21 07:36:01 +0000,count,851
2020-08-21 07:36:01 +0000,2020-08-21 07:46:02 +0000,count,735
2020-08-21 07:46:02 +0000,2020-08-21 07:54:22 +0000,count,538
2020-08-21 07:58:19 +0000,2020-08-21 07:59:30 +0000,count,119
2020-08-21 08:17:26 +0000,2020-08-21 08:22:44 +0000,count,326
2020-08-21 09:19:23 +0000,2020-08-21 09:21:20 +0000,count,59
2020-08-21 09:49:26 +0000,2020-08-21 09:49:36 +0000,count,12
2020-08-21 10:28:58 +0000,2020-08-21 10:29:25 +0000,count,30
2020-08-21 11:13:49 +0000,2020-08-21 11:13:55 +0000,count,13
2020-08-21 11:38:04 +0000,2020-08-21 11:44:02 +0000,count,132
2020-08-21 12:12:11 +0000,2020-08-21 12:16:13 +0000,count,127
2020-08-21 12:16:48 +0000,2020-08-21 12:20:43 +0000,count,80
2020-08-21 12:53:07 +0000,2020-08-21 12:54:00 +0000,count,78
2020-08-21 14:01:18 +0000,2020-08-21 14:01:28 +0000,count,16
2020-08-21 14:29:57 +0000,2020-08-21 14:34:40 +0000,count,231
2020-08-21 23:22:18 +0000,2020-08-21 23:22:20 +0000,count,18
2020-08-22 01:18:00 +0000,2020-08-22 01:22:04 +0000,count,25
2020-08-22 01:30:44 +0000,2020-08-22 01:40:02 +0000,count,117
2020-08-22 01:43:55 +0000,2020-08-22 01:46:11 +0000,count,138
2020-08-22 01:56:07 +0000,2020-08-22 02:05:03 +0000,count,241
2020-08-22 02:06:21 +0000,2020-08-22 02:10:11 +0000,count,34
2020-08-22 03:03:02 +0000,2020-08-22 03:04:53 +0000,count,218
2020-08-22 03:29:07 +0000,2020-08-22 03:35:18 +0000,count,240
2020-08-22 04:02:04 +0000,2020-08-22 04:06:37 +0000,count,69
2020-08-22 04:43:51 +0000,2020-08-22 04:46:37 +0000,count,59
2020-08-22 05:23:32 +0000,2020-08-22 05:24:56 +0000,count,99
2020-08-22 06:11:07 +0000,2020-08-22 06:11:30 +0000,count,30
2020-08-22 06:22:47 +0000,2020-08-22 06:22:59 +0000,count,17
2020-08-22 06:55:28 +0000,2020-08-22 06:55:33 +0000,count,12
2020-08-22 07:29:13 +0000,2020-08-22 07:29:36 +0000,count,26
2020-08-22 08:09:52 +0000,2020-08-22 08:09:58 +0000,count,10
2020-08-22 09:44:55 +0000,2020-08-22 09:52:07 +0000,count,27
2020-08-22 10:33:40 +0000,2020-08-22 10:39:11 +0000,count,77
2020-08-22 11:03:00 +0000,2020-08-22 11:12:18 +0000,count,196
2020-08-22 11:13:54 +0000,2020-08-22 11:13:59 +0000,count,13
2020-08-22 12:15:13 +0000,2020-08-22 12:20:24 +0000,count,58
2020-08-22 14:12:31 +0000,2020-08-22 14:14:22 +0000,count,21
2020-08-22 14:23:48 +0000,2020-08-22 14:24:13 +0000,count,31
2020-08-22 15:29:39 +0000,2020-08-22 15:29:42 +0000,count,16
2020-08-23 00:54:44 +0000,2020-08-23 01:00:00 +0000,count,136
2020-08-23 01:12:50 +0000,2020-08-23 01:21:31 +0000,count,171
2020-08-23 01:25:06 +0000,2020-08-23 01:32:50 +0000,count,88
2020-08-23 01:35:59 +0000,2020-08-23 01:39:37 +0000,count,102
2020-08-23 01:47:14 +0000,2020-08-23 01:47:16 +0000,count,8
2020-08-23 02:03:28 +0000,2020-08-23 02:07:46 +0000,count,234
2020-08-23 02:20:16 +0000,2020-08-23 02:22:12 +0000,count,63
2020-08-23 02:59:38 +0000,2020-08-23 03:07:28 +0000,count,344
2020-08-23 03:30:37 +0000,2020-08-23 03:38:26 +0000,count,311
2020-08-23 04:01:17 +0000,2020-08-23 04:09:57 +0000,count,129
2020-08-23 04:12:24 +0000,2020-08-23 04:20:11 +0000,count,412
2020-08-23 04:46:33 +0000,2020-08-23 04:56:01 +0000,count,261
2020-08-23 04:56:46 +0000,2020-08-23 04:59:33 +0000,count,142
2020-08-23 05:34:40 +0000,2020-08-23 05:34:42 +0000,count,10
2020-08-23 06:04:32 +0000,2020-08-23 06:14:33 +0000,count,258
2020-08-23 06:14:33 +0000,2020-08-23 06:15:13 +0000,count,74
2020-08-23 06:29:24 +0000,2020-08-23 06:29:27 +0000,count,8
2020-08-23 06:40:11 +0000,2020-08-23 06:44:49 +0000,count,112
2020-08-23 06:58:50 +0000,2020-08-23 06:59:08 +0000,count,14
2020-08-23 07:09:37 +0000,2020-08-23 07:13:26 +0000,count,77
2020-08-23 08:03:54 +0000,2020-08-23 08:04:07 +0000,count,26
2020-08-23 08:38:59 +0000,2020-08-23 08:41:40 +0000,count,73
2020-08-23 08:59:26 +0000,2020-08-23 09:09:24 +0000,count,470
2020-08-23 09:10:37 +0000,2020-08-23 09:20:36 +0000,count,753
2020-08-23 09:20:39 +0000,2020-08-23 09:30:38 +0000,count,871
2020-08-23 09:30:38 +0000,2020-08-23 09:40:37 +0000,count,774
2020-08-23 09:40:37 +0000,2020-08-23 09:50:35 +0000,count,673
2020-08-23 09:50:35 +0000,2020-08-23 10:00:36 +0000,count,120
2020-08-23 10:00:36 +0000,2020-08-23 10:05:12 +0000,count,279
2020-08-23 10:39:44 +0000,2020-08-23 10:40:37 +0000,count,58
2020-08-23 10:51:38 +0000,2020-08-23 10:54:05 +0000,count,53
2020-08-23 11:19:14 +0000,2020-08-23 11:19:39 +0000,count,43
2020-08-23 12:25:48 +0000,2020-08-23 12:26:25 +0000,count,40
2020-08-23 13:51:19 +0000,2020-08-23 13:56:22 +0000,count,109
2020-08-23 14:09:48 +0000,2020-08-23 14:12:17 +0000,count,200
2020-08-23 14:24:06 +0000,2020-08-23 14:24:19 +0000,count,30
2020-08-23 15:11:42 +0000,2020-08-23 15:12:07 +0000,count,40
2020-08-23 19:22:33 +0000,2020-08-23 19:24:31 +0000,count,67
2020-08-24 00:25:05 +0000,2020-08-24 00:29:48 +0000,count,49
2020-08-24 01:03:25 +0000,2020-08-24 01:12:27 +0000,count,212
2020-08-24 01:14:18 +0000,2020-08-24 01:20:02 +0000,count,483
2020-08-24 01:43:03 +0000,2020-08-24 01:53:04 +0000,count,319
2020-08-24 01:53:04 +0000,2020-08-24 02:02:27 +0000,count,80
2020-08-24 02:03:30 +0000,2020-08-24 02:03:42 +0000,count,34
2020-08-24 02:59:41 +0000,2020-08-24 03:06:46 +0000,count,212
2020-08-24 03:11:03 +0000,2020-08-24 03:11:31 +0000,count,14
2020-08-24 03:24:52 +0000,2020-08-24 03:32:04 +0000,count,517
2020-08-24 03:38:00 +0000,2020-08-24 03:38:07 +0000,count,16
2020-08-24 05:09:26 +0000,2020-08-24 05:09:33 +0000,count,17
2020-08-24 07:39:49 +0000,2020-08-24 07:49:32 +0000,count,83
2020-08-24 07:55:56 +0000,2020-08-24 08:02:37 +0000,count,113
2020-08-24 08:36:08 +0000,2020-08-24 08:39:17 +0000,count,51
2020-08-24 08:53:11 +0000,2020-08-24 09:03:12 +0000,count,172
2020-08-24 09:03:12 +0000,2020-08-24 09:11:19 +0000,count,668
2020-08-24 11:43:54 +0000,2020-08-24 11:44:12 +0000,count,33
2020-08-24 12:02:08 +0000,2020-08-24 12:11:27 +0000,count,34
2020-08-24 12:27:53 +0000,2020-08-24 12:37:51 +0000,count,113
2020-08-24 12:37:51 +0000,2020-08-24 12:43:47 +0000,count,312
2020-08-24 12:54:37 +0000,2020-08-24 12:55:09 +0000,count,45
2020-08-24 13:36:01 +0000,2020-08-24 13:39:23 +0000,count,139
2020-08-24 14:09:52 +0000,2020-08-24 14:18:18 +0000,count,82
2020-08-24 14:25:55 +0000,2020-08-24 14:28:47 +0000,count,47
2020-08-25 00:51:25 +0000,2020-08-25 00:51:48 +0000,count,29
2020-08-25 01:06:52 +0000,2020-08-25 01:06:54 +0000,count,8
2020-08-25 01:23:22 +0000,2020-08-25 01:31:21 +0000,count,480
2020-08-25 01:38:38 +0000,2020-08-25 01:47:34 +0000,count,40
2020-08-25 01:49:33 +0000,2020-08-25 01:59:31 +0000,count,599
2020-08-25 02:00:14 +0000,2020-08-25 02:03:11 +0000,count,202
