startDate,endDate,unit,value
2020-08-16 03:48:46 +0000,2020-08-16 03:56:53 +0000,km,0.07448
2020-08-16 04:04:58 +0000,2020-08-16 04:05:41 +0000,km,0.04042
2020-08-16 04:24:35 +0000,2020-08-16 04:25:00 +0000,km,0.03543
2020-08-16 07:14:21 +0000,2020-08-16 07:19:44 +0000,km,0.02406
2020-08-16 08:36:44 +0000,2020-08-16 08:36:56 +0000,km,0.01317
2020-08-16 11:29:19 +0000,2020-08-16 11:37:47 +0000,km,0.10346
2020-08-16 14:59:38 +0000,2020-08-16 14:59:59 +0000,km,0.01334
2020-08-16 23:34:07 +0000,2020-08-16 23:34:27 +0000,km,0.01382
2020-08-17 01:04:18 +0000,2020-08-17 01:04:31 +0000,km,0.01747
2020-08-17 01:23:18 +0000,2020-08-17 01:31:38 +0000,km,0.38849
2020-08-17 01:35:53 +0000,2020-08-17 01:36:00 +0000,km,0.01234
2020-08-17 01:59:36 +0000,2020-08-17 02:01:50 +0000,km,0.2028
2020-08-17 02:59:04 +0000,2020-08-17 03:08:25 +0000,km,0.16422
2020-08-17 03:17:38 +0000,2020-08-17 03:27:39 +0000,km,0.34278
2020-08-17 03:27:39 +0000,2020-08-17 03:28:42 +0000,km,0.04877
2020-08-17 03:44:53 +0000,2020-08-17 03:53:23 +0000,km,0.17707
2020-08-17 05:06:43 +0000,2020-08-17 05:07:21 +0000,km,0.02857
2020-08-17 05:26:31 +0000,2020-08-17 05:26:34 +0000,km,0.00148
2020-08-17 07:04:59 +0000,2020-08-17 07:05:37 +0000,km,0.03683
2020-08-17 07:26:02 +0000,2020-08-17 07:27:49 +0000,km,0.02039
2020-08-17 08:57:56 +0000,2020-08-17 09:07:57 +0000,km,0.45276
2020-08-17 09:07:57 +0000,2020-08-17 09:17:53 +0000,km,0.09801
2020-08-17 09:19:29 +0000,2020-08-17 09:21:10 +0000,km,0.03004
2020-08-17 10:07:33 +0000,2020-08-17 10:08:19 +0000,km,0.04037
2020-08-17 10:23:05 +0000,2020-08-17 10:23:30 +0000,km,0.03446
2020-08-17 11:57:28 +0000,2020-08-17 11:58:23 +0000,km,0.02175
2020-08-17 12:27:49 +0000,2020-08-17 12:29:12 +0000,km,0.04671
2020-08-17 14:43:10 +0000,2020-08-17 14:43:20 +0000,km,0.01141
2020-08-17 15:07:37 +0000,2020-08-17 15:07:42 +0000,km,0.00886
2020-08-17 17:24:43 +0000,2020-08-17 17:24:58 +0000,km,0.0185
2020-08-18 01:56:38 +0000,2020-08-18 01:59:58 +0000,km,0.03145
2020-08-18 02:57:04 +0000,2020-08-18 03:02:40 +0000,km,0.08104
2020-08-18 03:14:55 +0000,2020-08-18 03:15:02 +0000,km,0.01162
2020-08-18 05:07:40 +0000,2020-08-18 05:07:45 +0000,km,0.00904
2020-08-18 05:39:23 +0000,2020-08-18 05:39:28 +0000,km,0.00901
2020-08-18 06:29:31 +0000,2020-08-18 06:30:44 +0000,km,0.01478
2020-08-18 07:01:06 +0000,2020-08-18 07:01:21 +0000,km,0.02689
2020-08-18 07:55:35 +0000,2020-08-18 08:02:19 +0000,km,0.05095
2020-08-18 08:11:58 +0000,2020-08-18 08:14:42 +0000,km,0.01895
2020-08-18 08:52:14 +0000,2020-08-18 08:52:27 +0000,km,0.01372
2020-08-18 10:25:08 +0000,2020-08-18 10:27:47 +0000,km,0.05515
2020-08-18 10:59:49 +0000,2020-08-18 11:05:09 +0000,km,0.06719
2020-08-18 11:17:44 +0000,2020-08-18 11:17:57 +0000,km,0.01671
2020-08-18 11:30:04 +0000,2020-08-18 11:30:17 +0000,km,0.01462
2020-08-18 12:58:16 +0000,2020-08-18 13:07:57 +0000,km,0.02376
2020-08-18 13:08:40 +0000,2020-08-18 13:09:00 +0000,km,0.024
2020-08-18 14:18:29 +0000,2020-08-18 14:19:22 +0000,km,0.02636
2020-08-19 01:06:37 +0000,2020-08-19 01:16:37 +0000,km,0.0236
2020-08-19 01:16:37 +0000,2020-08-19 01:25:07 +0000,km,0.3815
2020-08-19 01:47:52 +0000,2020-08-19 01:53:05 +0000,km,0.25446
2020-08-19 01:58:25 +0000,2020-08-19 02:01:47 +0000,km,0.04798
2020-08-19 02:27:45 +0000,2020-08-19 02:28:05 +0000,km,0.03294
2020-08-19 02:58:39 +0000,2020-08-19 03:07:19 +0000,km,0.24991
2020-08-19 03:19:59 +0000,2020-08-19 03:22:36 +0000,km,0.11327
2020-08-19 03:22:36 +0000,2020-08-19 03:22:56 +0000,km,0.0172
2020-08-19 03:23:01 +0000,2020-08-19 03:31:24 +0000,km,0.30953
2020-08-19 04:15:03 +0000,2020-08-19 04:15:05 +0000,km,0.00392
2020-08-19 04:30:37 +0000,2020-08-19 04:31:17 +0000,km,0.03579
2020-08-19 05:05:17 +0000,2020-08-19 05:05:39 +0000,km,0.03068
2020-08-19 06:36:30 +0000,2020-08-19 06:36:37 +0000,km,0.01509
2020-08-19 07:25:59 +0000,2020-08-19 07:30:52 +0000,km,0.05202
2020-08-19 08:09:28 +0000,2020-08-19 08:14:43 +0000,km,0.10024
2020-08-19 08:24:52 +0000,2020-08-19 08:24:57 +0000,km,0.00868
2020-08-19 08:49:16 +0000,2020-08-19 08:59:17 +0000,km,0.10455
2020-08-19 08:59:17 +0000,2020-08-19 09:09:18 +0000,km,0.36435
2020-08-19 09:09:18 +0000,2020-08-19 09:12:47 +0000,km,0.07746
2020-08-19 09:41:25 +0000,2020-08-19 09:41:45 +0000,km,0.02695
2020-08-19 10:35:07 +0000,2020-08-19 10:35:47 +0000,km,0.04206
2020-08-19 10:54:16 +0000,2020-08-19 11:03:59 +0000,km,0.05754
2020-08-19 11:05:07 +0000,2020-08-19 11:15:03 +0000,km,0.28654
2020-08-19 11:15:08 +0000,2020-08-19 11:25:09 +0000,km,0.12092
2020-08-19 11:25:12 +0000,2020-08-19 11:30:50 +0000,km,0.07987
2020-08-19 11:42:14 +0000,2020-08-19 11:43:30 +0000,km,0.04595
2020-08-19 12:09:32 +0000,2020-08-19 12:09:53 +0000,km,0.01963
2020-08-19 14:50:11 +0000,2020-08-19 14:51:29 +0000,km,0.02933
2020-08-19 15:05:52 +0000,2020-08-19 15:06:40 +0000,km,0.02543
2020-08-20 00:30:20 +0000,2020-08-20 00:39:20 +0000,km,0.06854
2020-08-20 00:44:59 +0000,2020-08-20 00:45:19 +0000,km,0.01945
2020-08-20 01:03:24 +0000,2020-08-20 01:10:48 +0000,km,0.18006
2020-08-20 01:14:48 +0000,2020-08-20 01:15:08 +0000,km,0.02762
2020-08-20 01:27:56 +0000,2020-08-20 01:37:57 +0000,km,0.13563
2020-08-20 01:37:59 +0000,2020-08-20 01:38:57 +0000,km,0.01269
