startDate,endDate,unit,value
2020-09-23 00:08:38 +0000,2020-09-23 00:08:45 +0000,cm,63
2020-09-23 00:36:46 +0000,2020-09-23 00:37:16 +0000,cm,61
2020-09-23 01:04:08 +0000,2020-09-23 01:04:20 +0000,cm,84
2020-09-23 01:04:36 +0000,2020-09-23 01:06:40 +0000,cm,75
2020-09-23 01:08:06 +0000,2020-09-23 01:08:15 +0000,cm,99
2020-09-23 01:10:03 +0000,2020-09-23 01:12:21 +0000,cm,79
2020-09-23 01:12:32 +0000,2020-09-23 01:12:38 +0000,cm,87
2020-09-23 01:15:05 +0000,2020-09-23 01:15:17 +0000,cm,77
2020-09-23 01:15:46 +0000,2020-09-23 01:16:43 +0000,cm,73
2020-09-23 01:17:05 +0000,2020-09-23 01:18:34 +0000,cm,61
2020-09-23 01:31:21 +0000,2020-09-23 01:31:33 +0000,cm,55
2020-09-23 01:32:52 +0000,2020-09-23 01:33:00 +0000,cm,61
2020-09-23 01:37:59 +0000,2020-09-23 01:38:02 +0000,cm,48
2020-09-23 01:48:30 +0000,2020-09-23 01:48:38 +0000,cm,57
2020-09-23 01:58:20 +0000,2020-09-23 01:58:29 +0000,cm,57
2020-09-23 02:05:49 +0000,2020-09-23 02:05:53 +0000,cm,73
2020-09-23 02:19:21 +0000,2020-09-23 02:23:06 +0000,cm,71
2020-09-23 02:26:01 +0000,2020-09-23 02:26:36 +0000,cm,68
2020-09-23 02:27:29 +0000,2020-09-23 02:28:46 +0000,cm,72
2020-09-23 05:00:35 +0000,2020-09-23 05:02:05 +0000,cm,86
2020-09-23 05:25:04 +0000,2020-09-23 05:25:24 +0000,cm,72
2020-09-23 05:25:42 +0000,2020-09-23 05:26:04 +0000,cm,76
2020-09-23 05:26:21 +0000,2020-09-23 05:26:44 +0000,cm,100
2020-09-23 05:32:51 +0000,2020-09-23 05:33:49 +0000,cm,105
2020-09-23 05:34:09 +0000,2020-09-23 05:34:14 +0000,cm,54
2020-09-23 05:44:40 +0000,2020-09-23 05:45:45 +0000,cm,72
2020-09-23 09:34:50 +0000,2020-09-23 09:35:52 +0000,cm,79
2020-09-23 09:38:17 +0000,2020-09-23 09:38:40 +0000,cm,71
2020-09-23 09:39:25 +0000,2020-09-23 09:40:01 +0000,cm,66
2020-09-23 09:42:17 +0000,2020-09-23 09:43:06 +0000,cm,62
2020-09-23 09:45:12 +0000,2020-09-23 09:45:48 +0000,cm,53
2020-09-23 09:46:23 +0000,2020-09-23 09:46:38 +0000,cm,65
2020-09-23 09:57:56 +0000,2020-09-23 09:57:58 +0000,cm,49
2020-09-23 09:58:43 +0000,2020-09-23 10:03:42 +0000,cm,85
2020-09-23 10:03:42 +0000,2020-09-23 10:03:59 +0000,cm,81
2020-09-23 10:04:23 +0000,2020-09-23 10:04:29 +0000,cm,72
2020-09-23 10:04:55 +0000,2020-09-23 10:05:23 +0000,cm,76
2020-09-23 10:05:56 +0000,2020-09-23 10:06:41 +0000,cm,75
2020-09-23 10:07:11 +0000,2020-09-23 10:07:58 +0000,cm,79
2020-09-23 10:08:50 +0000,2020-09-23 10:09:45 +0000,cm,80
2020-09-23 10:10:04 +0000,2020-09-23 10:10:09 +0000,cm,78
2020-09-23 10:12:43 +0000,2020-09-23 10:12:45 +0000,cm,50
2020-09-23 10:20:00 +0000,2020-09-23 10:21:15 +0000,cm,72
2020-09-23 12:01:33 +0000,2020-09-23 12:01:46 +0000,cm,70
2020-09-23 12:02:13 +0000,2020-09-23 12:02:16 +0000,cm,73
2020-09-23 12:02:30 +0000,2020-09-23 12:02:33 +0000,cm,64
2020-09-23 12:04:31 +0000,2020-09-23 12:04:34 +0000,cm,77
2020-09-23 12:04:50 +0000,2020-09-23 12:06:47 +0000,cm,78
2020-09-23 12:08:30 +0000,2020-09-23 12:08:31 +0000,cm,98
2020-09-23 15:33:48 +0000,2020-09-23 15:33:52 +0000,cm,57
2020-09-24 03:21:35 +0000,2020-09-24 03:25:55 +0000,cm,76
2020-09-24 03:43:22 +0000,2020-09-24 03:43:28 +0000,cm,69
2020-09-24 03:48:28 +0000,2020-09-24 03:50:15 +0000,cm,80
2020-09-24 03:50:41 +0000,2020-09-24 03:50:58 +0000,cm,87
2020-09-24 04:41:51 +0000,2020-09-24 04:42:02 +0000,cm,80
